Maturity,Coupon,Bid,Ask
19940106,0,99.96,99.961
19940113,0,99.904,99.908
19940115,7,100.094,100.156
19940120,0,99.841,99.846
19940127,0,99.788,99.795
19940203,4.875,100.125,100.188
19940210,0,99.724,99.728
19940215,0,99.666,99.671
19940215,9,100.688,100.75
19940215,6.875,100.406,100.469
19940217,8.875,100.656,100.719
19940224,0,99.612,99.617
19940228,0,99.551,99.557
19940228,5.375,100.344,100.406
19940303,0,99.489,99.492
19940310,0,99.423,99.427
19940317,0,99.367,99.371
19940324,0,99.306,99.311
19940331,5.75,100.625,100.688
19940331,8.5,101.25,101.313
19940331,0,99.248,99.253
19940407,0,99.173,99.178
19940414,0,99.113,99.119
19940415,7,101.031,101.094
19940421,0,99.047,99.053
19940428,0,98.99,98.997
19940430,5.375,100.656,100.719
19940505,0,98.92,98.927
19940512,0,98.849,98.856
19940515,7,101.313,101.375
19940515,9.5,102.219,102.281
19940515,13.125,103.563,103.625
19940519,0,98.78,98.788
19940526,0,98.714,98.723
19940531,5.125,100.719,100.781
19940602,0,98.653,98.661
19940609,0,98.582,98.591
19940616,0,98.516,98.525
19940623,0,98.439,98.449
19940630,5,100.813,100.875
19940630,8.5,102.5,102.563
19940630,0,98.391,98.401
19940715,8,102.406,102.469
19940728,0,98.113,98.125
19940731,4.25,100.469,100.531
19940815,8.75,103.188,103.25
19940815,6.875,102.063,102.125
19940815,8.625,103.125,103.188
19940815,12.625,105.531,105.594
19940825,0,97.841,97.854
19940831,4.25,100.469,100.531
19940922,0,97.563,97.578
19940930,4,100.313,100.375
19940930,8.5,103.594,103.656
19941015,9.5,104.438,104.5
19941020,0,97.249,97.265
19941031,4.25,100.531,100.594
19941115,10.125,105.438,105.5
19941115,6,101.969,102.031
19941115,8.25,103.875,103.938
19941115,11.625,106.75,106.813
19941117,0,96.924,96.942
19941130,4.625,100.875,100.938
19941215,0,96.646,96.665
19941231,4.625,100.906,100.969
19941231,7.625,103.813,103.875
19950115,8.625,104.875,104.938
19950131,4.25,100.531,100.594
19950215,3,100.25,101.25
19950215,10.5,107.344,107.406
19950215,5.5,101.844,101.906
19950215,7.75,104.281,104.344
19950215,11.25,108.125,108.188
19950228,3.875,100.063,100.125
19950331,3.875,100.031,100.094
19950415,8.375,100.5,105.563
19950430,3.875,99.938,100
19950515,10.375,108.5,108.563
19950515,12.625,111.563,111.688
19950515,5.875,102.531,102.594
19950515,8.5,106,106.063
19950515,11.25,109.656,109.719
19950531,4.125,100.25,100.313
19950630,4.125,100.188,100.25
19950715,8.875,107.125,107.188
19950731,4.25,100.281,100.344
19950815,4.625,100.875,100.938
19950815,8.5,106.875,106.938
19950815,10.5,110.031,110.094
19950831,3.875,99.688,99.75
19950930,3.875,99.594,0.656
19951015,8.625,107.625,107.688
19951031,3.875,99.531,99.594
19951115,11.5,113.063,113.188
19951115,5.125,101.688,101.75
19951115,8.5,107.688,107.75
19951115,9.5,109.531,109.594
19951130,4.25,100.063,100.125
19951231,4.25,100,100.063
19960115,9.25,109.625,109.688
19960131,7.5,106.344,106.406
19960215,4.625,100.688,100.75
19960215,7.875,107.125,107.188
19960215,8.875,109.156,109.219
19960229,7.5,106.5,106.563
19960331,7.75,107.188,107.25
19960415,9.375,110.75,110.813
19960430,7.625,107.094,107.156
19960515,4.25,9.719,9.781
19960515,7.375,106.625,106.688
19960531,7.625,107.375,107.438
19960630,7.875,108.688,108.75
19960715,7.875,108.125,108.188
19960731,7.875,108.219,108.281
19960815,4.375,90.844,99.906
19960831,7.25,106.813,106.875
19960930,7,106.594,106.656
19961015,8,108.938,109
19961031,6.875,106.125,106.188
19961115,4.375,99.563,99.625
19961115,7.25,107.156,107.219
19961130,6.5,105.25,105.313
19961231,6.125,104.531,104.594
19970115,8,109.469,109.531
19970131,6.25,104.594,104.656
19970228,6.75,106.063,106.125
19970331,6.875,106.531,106.594
19970415,8.5,111.375,111.438
19970430,6.875,106.563,106.625
19970515,8.5,111.531,111.594
19970531,6.75,106.219,106.281
19970630,6.375,105.156,105.219
19970715,8.5,111.875,111.938
19970731,5.5,102.344,102.406
19970815,8.625,112.469,112.531
19970831,5.625,102.563,102.625
19970930,5.5,102.188,102.25
19971015,8.75,113.125,113.188
19971031,5.75,102.969,103.031
19971115,8.875,113.781,113.844
19971130,6,103.781,103.844
19971231,6,103.781,103.844
19980115,7.875,110.438,110.5
19980131,5.625,102.281,102.344
19980215,8.125,111.5,111.563
19980228,5.125,100.438,100.5
19980331,5.125,100.344,100.406
19980415,7.875,110.719,110.781
19980430,5.125,100.25,100.313
19980515,9,115.25,115.313
19980531,5.375,101.125,101.188
19980630,5.125,100.063,100.125
19980715,8.25,112.5,112.563
19980731,5.25,100.469,100.531
19980815,9.25,166.75,116.813
19980831,4.75,98.375,98.438
19980930,4.75,98.375,98.438
19981015,7.125,108.188,108.25
19981031,4.75,98.188,98.25
19981115,3.5,98.969,99.969
19981115,8.875,115.75,115.813
19981130,5.125,99.625,99.688
19981231,5.125,99.625,99.688
19990115,6.375,105.031,105.094
19990215,8.875,116.156,116.219
19990415,7,107.844,107.906
19990515,9.125,117.875,117.938
19990715,6.375,105,105.063
19990815,8,112.938,113
19991015,6,103.219,103.281
19991115,7.875,112.625,112.688
20000115,6.375,105.063,105.125
20000215,8.5,116.125,116.188
20000415,5.5,100.844,100.906
20000515,8.875,118.375,118.438
20000815,8.75,118,118.063
20001115,8.5,116.844,116.906
20010215,11.75,136.219,136.344
20010215,7.75,113.719,113.781
20010515,13.125,145.313,145.438
20010515,8,114.344,114.406
20010815,13.375,147.875,148
20010815,7.875,113.813,113.875
20011115,15.75,164.031,164.156
20011115,7.5,111.563,111.625
20020215,14.25,155.656,155.781
20020515,7.5,111.844,111.906
20020815,6.375,104.25,104.313
20021115,11.625,140.344,140.469
20030215,10.75,134.813,134.938
20030215,6.25,103.25,103.313
20030515,10.75,135.313,135.438
20030815,11.125,138.656,138.781
20030815,5.75,99.625,99.688
20031115,11.875,144.75,144.875
20040515,12.375,149.969,150.094
20040815,13.75,161.406,161.531
20041115,11.625,145.219,145.344
20050515,12,149.375,149.5
20050815,10.75,139.531,139.656
20060215,9.375,128.906,129.031
20150215,11.25,154.25,154.313
20150815,10.625,147.375,147.438
